partID,Age,Gender,Stage,Pre_SSE_1,Pre_SSE_2,Pre_SSE_3,Pre_SSE_4,Pre_SSE_5,Pre_SSE_6,Pre_SSE_7,Pre_SSE_8,Pre_SSE_9,Pre_SSE_10,Pre_SSE_11,Pre_SSE_12,Pre_SSE_13,Pre_SSE_14,Pre_SSE_15,Pre_SSE_16,Pre_SSE_17,Pre_SSE_18,Pre_SSE_19,Pre_SSE_20,Condition,Post_SSE_1,Post_SSE_2,Post_SSE_3,Post_SSE_4,Post_SSE_5,Post_SSE_6,Post_SSE_7,Post_SSE_8,Post_SSE_9,Post_SSE_10,Post_SSE_11,Post_SSE_12,Post_SSE_13,Post_SSE_14,Post_SSE_15,Post_SSE_16,Post_SSE_17,Post_SSE_18,Post_SSE_19,Post_SSE_20
47,20,1,2,3,0,2,2,1,3,4,3,3,4,4,3,2,3,4,2,1,2,3,1,0,3,2,3,2,3,2,4,3,3,4,4,3,2,2,4,3,2,3,3,3
51,22,2,2,2,1,3,2,3,3,4,4,3,2,2,3,1,3,4,4,2,4,2,2,0,3,1,3,1,3,3,3,3,4,3,2,2,2,3,4,4,2,4,2,2
57,20,2,2,3,4,0,4,4,0,0,4,2,4,2,3,4,4,4,4,4,4,4,4,0,3,4,0,4,4,2,0,4,2,4,2,3,4,4,4,4,4,4,4,4
59,19,1,1,2,1,0,2,2,0,3,1,2,2,2,2,1,1,3,1,1,2,3,4,0,2,1,0,3,2,0,1,2,1,1,1,1,1,1,2,0,0,1,1,3
65,18,1,1,2,3,2,2,3,2,2,2,2,3,2,2,3,2,3,3,3,3,2,2,0,2,3,2,3,3,1,2,3,2,3,2,2,3,2,3,3,3,2,3,2
69,21,2,2,2,3,3,4,3,1,4,2,2,3,2,1,3,1,4,3,4,4,4,4,0,2,3,2,4,3,1,4,3,2,3,2,1,3,2,4,3,3,4,4,4
75,22,1,2,0,1,2,1,3,2,3,0,3,0,0,1,3,3,4,0,2,2,1,2,0,0,0,2,1,3,2,2,1,3,1,0,1,3,3,4,0,2,3,0,1
84,18,1,1,3,2,0,3,3,3,1,0,3,0,2,1,0,3,2,2,2,1,1,3,0,2,2,1,3,2,2,1,1,3,1,1,2,2,3,1,2,2,1,1,2
113,20,2,1,2,0,2,1,4,0,2,1,2,0,2,2,3,2,4,3,3,0,0,1,0,4,4,1,4,4,0,2,4,2,4,2,1,4,3,4,3,3,4,4,2
119,19,2,1,3,4,3,3,3,2,4,4,2,4,3,3,4,3,4,4,4,4,4,4,0,3,3,3,4,4,2,4,4,3,4,3,3,4,3,4,4,4,4,4,4
129,25,2,2,2,2,2,2,2,1,3,3,1,3,1,1,3,1,3,3,3,3,3,3,0,1,3,1,3,3,1,3,3,1,3,1,1,3,1,3,3,3,3,3,3
154,20,2,1,2,2,0,4,3,1,1,2,1,3,1,1,2,2,3,1,2,3,3,2,0,2,3,0,4,3,1,1,2,2,3,1,1,2,1,3,1,2,3,2,2
157,20,2,2,3,2,3,3,3,2,2,3,2,4,3,2,3,2,4,3,3,4,2,3,0,2,3,3,4,3,2,3,4,2,3,2,2,3,2,4,3,3,3,3,3
158,18,2,1,3,4,3,4,4,1,4,3,2,4,3,3,3,2,4,3,4,3,4,3,0,3,4,3,4,3,2,4,4,2,4,3,3,3,2,4,4,3,3,4,4
168,21,2,1,3,4,3,3,4,2,4,4,3,4,3,3,3,3,4,4,4,4,4,4,0,3,4,3,3,4,1,4,4,3,4,3,3,3,3,4,4,3,4,4,4
178,19,1,1,3,4,2,3,2,1,2,2,3,2,3,2,1,3,3,2,1,1,1,2,0,2,4,1,3,1,1,1,1,1,2,2,1,2,1,2,2,1,1,1,1
191,20,2,2,1,2,0,3,3,1,1,2,1,3,1,0,0,2,1,1,1,1,2,0,0,1,3,1,2,2,1,1,2,1,2,1,0,1,2,2,1,1,2,3,0
194,21,2,2,2,3,2,2,1,2,3,3,2,2,2,2,3,1,3,3,4,3,3,4,0,2,4,2,2,1,2,3,3,2,3,2,2,3,1,3,4,4,3,3,4
221,19,2,1,3,4,1,4,4,1,1,1,2,3,2,2,1,3,4,3,4,4,4,3,0,3,4,2,4,4,0,1,4,1,3,2,1,4,3,4,4,4,4,4,4
231,19,2,1,3,1,2,4,4,2,4,4,4,4,3,3,1,4,4,2,1,4,4,2,0,3,1,3,4,4,2,4,3,3,4,3,3,1,4,4,3,1,4,4,1
234,18,1,1,3,2,2,2,3,2,3,1,3,3,2,2,3,3,3,4,2,4,3,3,0,3,3,2,4,4,2,3,3,3,4,2,1,3,3,4,4,3,4,1,3
237,19,1,1,2,1,0,1,2,2,0,0,2,0,1,0,0,2,1,0,0,1,0,0,0,2,3,4,1,3,2,0,0,2,0,1,0,0,3,1,0,0,1,1,0
242,29,2,1,3,4,3,4,4,2,3,3,3,4,3,3,4,4,4,4,3,4,4,4,0,3,4,3,4,4,2,3,3,3,4,3,3,4,4,4,4,3,4,4,4
243,18,2,1,2,2,2,3,4,0,1,1,1,2,2,1,0,4,0,0,1,2,3,1,0,2,2,2,2,4,1,2,2,1,3,1,1,1,4,2,1,1,3,3,2
250,35,2,0,3,3,2,3,4,2,3,3,3,4,3,2,3,4,4,3,3,4,4,3,0,3,3,2,3,4,2,3,3,3,4,3,2,3,4,4,3,3,4,4,3
252,23,2,2,1,3,0,4,2,2,0,1,0,2,2,1,3,2,1,1,2,3,2,3,0,0,1,0,2,1,0,0,0,0,0,0,0,0,2,2,0,4,2,4,1
255,45,2,0,3,4,2,4,4,2,4,4,2,4,4,2,4,3,4,3,4,4,4,4,0,3,3,2,4,4,2,4,4,2,4,3,2,3,3,4,3,2,3,4,4
257,19,2,1,2,4,1,4,4,1,3,3,2,3,2,2,4,2,4,3,4,4,4,4,0,2,4,2,4,4,2,3,2,2,3,2,2,4,2,4,3,4,4,4,4
258,55,1,0,4,2,2,1,4,2,3,2,4,4,2,2,3,4,4,2,3,4,2,4,0,3,2,2,4,4,1,3,3,4,3,3,2,2,4,4,3,4,4,3,4
259,22,2,0,1,1,2,3,2,1,4,4,1,3,2,2,4,3,4,4,3,3,3,3,0,1,1,2,1,2,1,4,4,2,3,3,3,4,2,4,4,4,2,3,4
260,22,2,4,4,2,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,0,4,2,4,4,4,3,4,4,4,4,3,4,4,3,4,4,2,4,4,4
261,63,2,0,3,2,4,4,4,3,4,3,4,4,4,4,4,3,4,4,3,4,3,4,0,3,3,4,4,4,3,4,4,4,4,3,4,3,3,4,4,4,4,4,4
262,38,2,0,2,2,1,3,3,1,2,3,2,3,2,1,4,2,4,3,3,3,3,4,0,2,3,1,3,3,1,2,3,2,3,1,1,3,1,4,3,3,3,3,3
265,24,2,6,3,2,1,3,4,3,0,1,2,4,3,1,3,3,2,3,1,4,3,3,0,4,1,0,2,3,3,0,1,3,3,3,1,2,3,4,2,2,3,3,3
70,19,2,2,1,1,0,3,2,0,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,2,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1
78,21,2,2,2,2,0,3,2,1,0,0,2,0,0,0,1,2,1,0,1,3,1,0,1,0,0,0,2,3,1,0,0,2,0,0,0,1,2,2,0,0,2,2,0
95,19,2,1,2,4,2,2,3,0,2,2,2,3,2,2,3,2,2,3,3,1,3,2,1,2,3,1,1,3,0,2,1,2,3,2,2,1,1,2,2,1,1,2,2
105,26,2,1,2,2,2,3,3,3,2,2,3,3,3,3,4,3,4,4,3,4,3,4,1,3,1,2,1,4,2,3,2,3,2,3,2,3,2,2,4,3,4,2,1
145,22,2,2,2,2,0,1,0,1,0,1,1,1,1,1,3,1,2,1,1,1,1,1,1,2,2,2,3,0,2,1,4,1,2,3,2,2,3,2,3,1,2,2,1
146,20,2,1,1,2,1,2,2,0,2,2,0,2,1,0,3,1,2,2,2,1,1,2,1,0,1,0,0,4,1,2,0,0,0,0,0,1,1,1,1,0,0,0,0
151,21,2,1,1,3,0,3,2,0,2,2,0,3,1,0,2,0,4,2,3,3,3,3,1,0,2,0,1,2,0,1,1,0,2,1,0,1,0,4,2,2,3,2,2
164,20,2,1,2,1,1,2,3,1,2,1,1,2,2,1,0,2,4,1,1,1,2,1,1,0,0,1,0,4,1,3,0,0,0,0,1,0,2,4,1,0,0,0,0
181,33,2,2,2,0,0,0,4,2,0,0,2,0,1,0,0,4,3,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
198,19,2,1,2,0,4,2,3,1,0,0,0,0,0,0,2,0,4,0,3,3,2,3,1,0,1,0,1,2,1,0,0,0,0,0,0,1,1,4,0,2,2,1,1
199,19,1,1,2,1,0,3,3,1,2,1,2,2,2,1,4,1,2,2,2,2,2,3,1,1,1,1,1,1,1,2,0,2,1,1,1,2,1,1,3,0,2,1,1
202,30,1,1,3,4,3,4,3,1,4,4,2,4,3,3,4,3,4,4,4,2,4,4,1,3,4,2,4,3,1,4,4,2,4,3,3,4,3,4,4,4,2,4,4
206,20,2,2,2,1,2,3,4,2,3,3,2,3,3,2,3,3,3,3,1,3,4,1,1,2,0,2,2,3,2,3,1,2,3,2,3,1,3,3,3,0,3,3,1
208,20,2,1,3,3,2,4,4,2,2,4,2,3,3,3,3,3,4,3,4,4,4,3,1,2,3,3,3,4,3,2,4,3,3,3,3,3,3,3,3,4,4,3,3
210,19,1,2,3,3,2,2,4,3,2,3,3,4,3,3,2,3,4,3,3,3,3,4,1,3,3,2,3,4,3,2,2,3,3,2,0,3,3,3,1,2,4,4,3
213,19,2,1,4,2,3,3,4,3,4,3,2,3,3,4,3,4,3,4,4,3,3,1,1,2,1,1,1,3,1,4,1,2,2,2,1,0,2,1,3,0,2,2,1
217,20,2,2,2,2,3,1,3,2,4,4,2,4,1,2,2,2,4,4,3,4,1,3,1,1,3,3,2,4,1,4,2,1,3,2,2,1,1,3,4,2,4,2,1
220,19,2,1,1,3,0,2,3,1,1,2,1,3,2,0,1,2,4,2,3,3,4,1,1,0,2,0,2,3,0,2,0,1,0,0,0,1,0,4,1,0,2,2,0
53,19,2,1,2,2,1,4,4,1,2,3,1,2,3,2,3,3,3,3,4,1,3,3,2,1,0,0,3,4,0,1,1,0,1,1,0,1,0,1,0,2,1,1,1
64,18,2,1,2,2,0,3,4,1,1,2,2,2,2,1,3,2,4,3,3,3,3,4,2,1,3,0,3,2,1,1,1,2,1,0,0,2,2,2,2,2,2,2,2
76,19,1,1,1,0,0,1,1,0,1,0,1,1,1,0,2,1,3,3,1,2,2,2,2,0,1,0,2,2,0,2,2,1,2,1,0,1,2,3,3,0,2,3,2
80,19,2,2,3,3,1,4,3,4,1,3,3,4,3,3,4,4,4,4,3,4,4,4,2,4,3,1,4,3,4,3,3,4,4,3,3,4,4,4,4,4,4,4,4
82,20,2,2,4,4,4,4,4,2,4,4,3,4,4,4,4,3,4,4,3,2,2,4,2,4,4,4,4,4,2,4,4,2,4,3,4,4,3,4,4,3,2,4,4
86,18,2,1,3,3,2,3,3,1,3,3,1,4,4,2,2,2,4,4,4,4,4,4,2,2,3,2,4,3,0,3,3,1,4,4,1,2,1,4,3,3,4,4,4
94,18,2,1,2,2,1,3,3,0,1,1,0,3,1,1,2,1,3,1,1,1,1,1,2,1,3,1,1,4,0,2,3,0,3,1,1,1,1,1,3,1,3,1,1
102,20,2,2,3,4,1,4,4,2,3,3,2,4,3,2,3,3,4,3,4,4,4,4,2,3,4,1,4,4,3,3,3,3,4,3,1,3,3,4,3,1,4,4,4
115,20,2,2,1,3,0,4,4,0,0,1,1,2,0,0,2,3,4,1,4,4,3,3,2,1,2,0,3,4,0,0,1,1,3,1,0,3,4,4,0,3,4,3,3
117,19,1,1,0,4,1,4,3,1,3,1,2,2,1,2,1,1,3,3,3,3,2,3,2,0,4,1,4,3,1,3,1,2,2,1,2,1,1,3,3,3,3,3,3
118,18,2,1,2,1,1,1,3,1,0,3,0,3,1,2,3,3,2,1,2,3,4,3,2,2,1,3,0,1,0,0,1,1,2,2,2,1,2,3,2,3,3,1,3
120,18,2,1,2,2,0,3,4,0,0,1,3,2,0,0,1,3,4,1,4,4,4,3,2,1,1,4,3,4,0,0,1,2,1,1,0,1,3,3,0,1,4,4,1
121,19,2,2,3,3,2,4,3,2,4,4,1,4,3,3,3,2,4,4,4,2,2,3,2,2,4,4,4,3,2,4,4,1,4,4,4,1,3,4,4,3,3,3,3
130,20,1,2,3,1,3,2,3,4,3,4,3,4,4,3,4,3,4,4,2,3,3,3,2,3,1,3,2,3,3,1,4,3,4,3,3,3,3,4,4,1,3,3,3
133,27,2,1,2,3,1,2,3,1,4,2,2,3,1,1,3,1,3,4,4,3,3,4,2,1,3,1,3,4,1,4,1,2,3,1,1,3,1,3,3,3,3,3,4
134,20,2,1,0,2,1,4,4,3,3,1,0,1,0,0,2,3,3,1,3,3,1,2,2,3,1,1,4,4,3,4,4,0,4,3,3,4,0,4,4,3,4,2,3
149,20,1,1,3,1,0,2,1,1,2,2,3,1,1,1,2,2,3,2,2,2,2,3,2,3,2,0,2,2,1,2,1,3,3,1,1,2,3,2,1,2,2,2,3
159,18,1,1,3,4,2,4,4,2,4,4,2,4,3,3,4,3,4,3,4,3,3,4,2,2,4,2,3,4,2,4,4,3,3,2,2,4,3,4,3,4,3,4,4
167,20,1,2,4,4,3,3,3,2,4,4,2,4,4,3,4,3,3,4,4,3,4,4,2,0,3,0,4,4,2,4,4,3,4,3,3,4,3,3,4,4,2,4,4
169,19,2,1,2,1,1,2,2,2,1,1,1,2,1,0,1,2,3,1,1,1,0,2,2,1,2,0,2,2,2,0,1,1,3,2,0,2,1,3,2,2,1,2,2
187,19,2,1,1,4,1,4,4,1,2,2,0,4,2,1,1,2,4,4,3,4,3,3,2,2,1,2,4,4,1,1,4,1,3,2,2,1,3,3,4,3,4,4,2
